generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2734000,0,-2.73345,-76.6075,0.803734,0.388
2735000,0,-2.041,-75.5508,0.37161,0.415
2736000,0,-2.98464,-74.4674,1.22237,0.428833
2737000,0,-3.02525,-75.6464,0.0282304,0.4004
2738000,0,-2.5756,-74.7101,0.22705,0.401
2739000,0,-2.92729,-74.2519,0.570936,0.413875
2740000,0,-3.04038,-74.6257,0.495362,0.376
2741000,0,-1.94316,-74.6436,0.18598,0.418167
2742000,0,-1.81668,-74.9924,0.0695108,0.41
2743000,0,-1.86387,-75.8057,0.217052,0.421667
2744000,0,-1.73619,-76.0379,0.0686733,0.481
2745000,0,-2.43157,-75.4792,0.062981,0.406375
2746000,0,-1.79211,-76.7056,0.117275,0.451
2747000,0,-1.97498,-74.2398,0.0228732,0.415667
2748000,0,-7.77197,-75.8537,1.00086,0.4005
2749000,0,-3.40075,-77.5677,1.39966,0.412857
2750000,0,-2.30751,-75.6447,0.135772,0.368
2751000,0,-3.42312,-74.3081,1.54319,0.405
2752000,0,-3.32729,-75.3319,0.393615,0.4005
2753000,1,-5.15553,-74.9741,0.639562,0.4235
2754000,0,-1.96662,-74.2243,0.100393,0.405
2755000,0,-2.00339,-74.815,0.11736,0.41725
2756000,0,-2.60986,-75.8454,0.5849,0.44675
2757000,1,-6.99852,-77.78,0.929734,0.383
2758000,0,-2.78191,-76.0385,0.134549,0.426
2759000,0,-2.86013,-74.6793,0.655063,0.4585
2760000,1,-6.43861,-74.4898,1.078,0.4705
2761000,0,-3.28625,-77.5623,0.175551,0.426174
2762000,0,-2.4405,-75.6339,0.331612,0.444
2763000,0,-1.67237,-76.576,0.0302263,0.475667
2764000,0,-2.02624,-76.2331,0.140175,0.428333
2765000,0,-2.19761,-74.5702,0.0186334,0.403
2766000,0,-2.85184,-75.546,0.608852,0.462333
2767000,0,-2.46206,-75.2787,0.219833,0.441692
2768000,0,-3.94324,-75.723,1.67197,0.391
2769000,0,-2.58883,-75.8206,0.227842,0.453
2770000,1,-5.26483,-75.9992,0.496601,0.384
2771000,1,-6.58263,-76.7063,1.49544,0.522
2772000,1,-6.21316,-77.6664,0.366298,0.4342
2773000,0,-2.31653,-74.7599,0.210437,0.576
2774000,0,-3.49926,-74.9906,1.61847,0.473111
2775000,0,-2.49209,-74.7694,0.223632,0.408
2776000,0,-2.34074,-74.7245,0.384915,0.423667
2777000,0,-3.09714,-75.0357,0.325453,0.437
2778000,1,-7.08513,-76.4189,1.05736,0.447
2779000,0,-1.75603,-76.7501,0.0813992,0.44
2780000,0,-3.03441,-75.0222,0.11947,0.451
2781000,0,-3.69082,-75.5817,0.274632,0.413
2782000,0,-2.46124,-74.9294,0.340158,0.406
2783000,0,-4.65388,-79.238,0.776337,0.371
2784000,0,-2.63532,-74.1486,0.0518207,0.441308
2785000,1,-5.77021,-74.6527,0.939142,0.401
2786000,1,-6.9117,-75.9257,1.09752,0.521
2787000,0,-2.28261,-78.317,0.0358566,0.436333
2788000,0,-4.06581,-75.7876,0.810932,0.413
2789000,0,-2.45121,-75.0184,0.0589416,0.388
2790000,0,-2.51678,-77.3232,0.296023,0.421
2791000,0,-1.90943,-77.5327,0.0596638,0.379
2792000,1,-6.01321,-77.2327,1.49862,0.434217
2793000,0,-2.52759,-74.6443,0.666254,0.467
2794000,1,-5.24916,-77.6582,0.269631,0.427333
2795000,0,-3.96448,-75.7696,1.53508,0.39
2796000,0,-2.62508,-75.5468,0.284176,0.458
2797000,0,-2.59779,-77.1762,0.06864,0.381
2798000,0,-3.84382,-74.2833,1.6179,0.4175
2799000,0,-2.68448,-75.4007,0.35992,0.407
2800000,0,-2.57493,-74.2435,0.698396,0.403
2801000,0,-2.67054,-74.1644,0.689588,0.37
2802000,0,-2.80768,-76.1978,0.602718,0.382
2803000,0,-4.9833,-76.9845,0.572208,0.3948
2804000,0,-3.25559,-75.2591,1.11878,0.4005
2805000,0,-2.18106,-77.5045,0.497736,0.412214
2806000,0,-3.88937,-74.6009,0.967379,0.404
2807000,0,-2.67341,-75.1297,0.0455697,0.4075
2808000,0,-3.15043,-75.9438,0.020085,0.4042
2809000,0,-4.18239,-77.4658,0.919313,0.408
2810000,0,-3.83,-74.9006,0.69639,0.39875
2811000,0,-3.42524,-75.7231,0.365267,0.382
2812000,0,-2.87353,-75.4187,0.315888,0.379
2813000,0,-2.48947,-74.9849,0.00751535,0.39
2814000,0,-2.06112,-75.9997,0.15392,0.385
2815000,0,-4.03778,-77.442,2.18616,0.389
2816000,0,-2.10844,-82.0666,0.187347,0.416
2817000,0,-3.06207,-76.908,0.456941,0.426
2818000,0,-3.0136,-74.5323,0.402685,0.407
2819000,0,-2.22207,-75.988,0.166385,0.465
2820000,0,-2.04233,-77.1945,0.366582,0.424
2821000,0,-4.06141,-76.0083,0.273396,0.382
2822000,0,-4.17718,-77.0278,1.25691,0.418556
2823000,0,-2.1029,-74.4655,0.310101,0.395
2824000,0,-3.46905,-76.5035,1.73068,0.394
2825000,0,-3.91205,-78.0497,2.13703,0.378
2826000,0,-2.023,-78.3153,0.0599956,0.40125
2827000,0,-3.13264,-76.9549,0.860295,0.402
2828000,0,-2.60634,-74.0925,0.189286,0.454
2829000,0,-2.12387,-74.4406,0.0783176,0.404333
2830000,0,-4.02645,-75.3462,0.711321,0.4298
2831000,0,-2.25033,-75.4592,0.120241,0.381
2832000,0,-1.82829,-76.4563,0.0219193,0.407
2833000,0,-2.69576,-75.2471,0.527304,0.412
2834000,0,-2.44689,-75.7241,0.727095,0.404333
2835000,0,-2.47831,-76.1752,0.515231,0.41
2836000,0,-2.93266,-74.676,0.385343,0.384
2837000,0,-2.45509,-75.682,0.0321407,0.447
2838000,0,-2.10601,-75.7664,0.0492578,0.525
2839000,0,-2.72217,-76.9428,0.200826,0.418708
2840000,0,-2.42745,-75.8858,0.438513,0.378
2841000,0,-3.38918,-76.7256,0.872912,0.380667
2842000,0,-2.7362,-74.69,0.633307,0.403444
2843000,0,-2.41432,-76.2355,0.718217,0.39
2844000,0,-2.49233,-74.6357,0.122812,0.3905
2845000,0,-1.84805,-76.5743,0.0124008,0.401438
2846000,0,-3.4965,-76.4534,1.07448,0.4144
2847000,0,-3.16769,-74.8077,0.105966,0.418
2848000,0,-2.48747,-74.955,0.762437,0.409
2849000,0,-2.79265,-75.1777,0.0879647,0.416167
2850000,0,-1.94381,-75.4293,0.0130748,0.415667
2851000,0,-2.87998,-74.8352,0.604727,0.403
2852000,0,-3.47302,-74.3305,1.20702,0.4035
2853000,0,-3.56291,-76.7565,0.533078,0.375
2854000,0,-3.72106,-75.0748,0.704001,0.426667
2855000,0,-3.10299,-74.3719,0.300616,0.376
2856000,0,-2.42731,-75.0986,0.492015,0.426714
2857000,1,-9.10675,-75.7624,3.39859,0.381
2858000,0,-3.45066,-75.344,0.467102,0.45
2859000,0,-3.33215,-76.1644,0.514163,0.395
2860000,0,-2.37187,-77.4461,0.160024,0.437
2861000,0,-2.87078,-75.8779,0.949651,0.375
2862000,0,-2.31662,-76.7686,0.319434,0.385
2863000,0,-2.32658,-77.2847,0.0545886,0.429
2864000,0,-3.67345,-75.2883,1.35776,0.422
2865000,1,-6.3965,-78.7644,1.51923,0.4075
2866000,0,-2.31652,-81.0087,0.144157,0.411143
2867000,1,-6.92898,-78.1566,2.09189,0.411
2868000,0,-3.2297,-76.1783,0.866332,0.426
2869000,0,-1.97184,-75.9683,0.0835731,0.422667
2870000,0,-3.20331,-75.4204,0.515775,0.485
2871000,0,-3.77626,-76.8806,0.0397221,0.451
2872000,0,-2.65168,-75.8107,0.637778,0.389
2873000,0,-2.36034,-75.3386,0.289033,0.487
2874000,0,-2.83499,-76.2521,0.0800864,0.389
2875000,1,-4.60693,-77.1293,0.337827,0.406
2876000,0,-2.23579,-74.457,0.200422,0.4
2877000,0,-3.34887,-75.0189,0.798729,0.375
2878000,0,-3.24166,-77.8028,0.117609,0.383
2879000,0,-2.59247,-75.2609,0.760789,0.437
2880000,0,-1.86853,-77.4312,0.0485149,0.4047
2881000,0,-3.19351,-76.023,0.459871,0.42
2882000,0,-3.13266,-75.4817,0.14029,0.426
2883000,0,-2.15162,-75.0153,0.326933,0.447
2884000,0,-2.3716,-74.4992,0.53248,0.435
2885000,0,-2.20972,-74.539,0.0858172,0.406
2886000,0,-3.19834,-74.3909,0.529427,0.4035
2887000,0,-3.10497,-75.5043,0.892308,0.4
2888000,0,-2.90995,-75.681,0.0849593,0.39
2889000,0,-2.54237,-77.0748,0.829288,0.423
2890000,0,-3.8886,-77.6325,0.211092,0.420893
2891000,0,-3.60876,-78.8581,0.626276,0.399
2892000,0,-2.76439,-74.9378,0.186939,0.397
2893000,1,-5.73871,-77.4776,1.09291,0.441333
2894000,0,-2.91299,-77.4014,0.208135,0.432
2895000,0,-3.14089,-75.1388,0.259103,0.412385
2896000,0,-2.57302,-76.5571,0.16482,0.407
2897000,0,-2.88131,-74.5921,0.561017,0.401
2898000,0,-1.89136,-76.3394,0.00375525,0.372
2899000,1,-6.54504,-74.3386,0.0996943,0.453
2900000,0,-2.36162,-74.5832,0.0873446,0.3852
2901000,0,-1.91354,-74.8423,0.071709,0.4135
2902000,0,-1.77113,-76.7291,0.0595168,0.4174
2903000,0,-2.65017,-80.7912,0.0311067,0.397
2904000,0,-2.5395,-76.4311,0.464466,0.412
2905000,0,-3.83294,-75.3091,1.26361,0.409667
2906000,0,-3.22747,-76.5739,1.45332,0.463
2907000,4,-25.9853,-81.275,3.47691,0.505
2908000,0,-2.89319,-74.7346,0.399726,0.517
2909000,0,-3.05518,-77.361,0.183119,0.437
2910000,0,-2.27242,-74.9636,0.128418,0.4125
2911000,0,-2.12545,-76.2685,0.368789,0.375
2912000,0,-2.83364,-76.186,0.0247824,0.393
2913000,0,-2.05864,-77.1856,0.270211,0.443889
2914000,0,-2.77387,-75.1073,0.187598,0.429462
2915000,0,-3.23033,-76.4023,0.217174,0.418
2916000,0,-2.42163,-79.3148,0.110682,0.405
2917000,0,-3.09665,-75.7131,0.0474716,0.4
2918000,0,-2.87412,-75.8003,0.0908067,0.431
2919000,0,-2.43141,-74.301,0.0498463,0.377
2920000,0,-4.04653,-74.5627,1.35842,0.410636
2921000,0,-3.92479,-76.4919,1.10907,0.41
2922000,0,-3.40955,-74.1173,1.20836,0.39
2923000,0,-3.15535,-74.5737,1.20052,0.413
2924000,0,-2.57925,-75.8847,0.641593,0.405444
2925000,0,-3.55671,-74.7058,1.46673,0.387
2926000,0,-2.23544,-75.6257,0.205923,0.357
2927000,0,-2.79102,-74.8568,0.00718334,0.407
2928000,0,-2.83871,-75.1044,0.00145819,0.427
2929000,0,-1.78335,-75.2852,0.0790795,0.393
2930000,0,-3.09277,-75.6085,0.0607424,0.355
2931000,1,-9.1703,-77.8631,1.94455,0.413364
2932000,0,-3.92013,-74.0989,1.56465,0.404111
2933000,0,-2.71694,-76.1574,0.17237,0.409381
2934000,0,-1.94761,-76.5969,0.216593,0.426
2935000,2,-9.41903,-76.3553,1.62901,0.427333
2936000,0,-2.46556,-75.6949,0.163058,0.384
2937000,0,-2.76653,-75.2047,0.751847,0.406
2938000,0,-2.81358,-77.1294,0.339512,0.425
2939000,0,-2.63108,-76.621,0.0876771,0.39925
2940000,0,-3.7168,-80.1662,1.13381,0.411
2941000,0,-2.58123,-74.0406,0.132727,0.449
2942000,0,-3.83541,-79.0837,0.0449512,0.411667
2943000,0,-2.68142,-74.2034,0.671835,0.388
2944000,0,-2.26919,-76.2276,0.349293,0.426
2945000,0,-3.61662,-76.8373,0.462016,0.4405
2946000,0,-3.16794,-74.4289,0.869856,0.406
2947000,0,-2.08365,-76.3901,0.0945795,0.424667
2948000,0,-2.20237,-76.5213,0.117987,0.4485
2949000,0,-3.23821,-74.7278,0.877594,0.41
2950000,0,-2.40252,-74.5022,0.585232,0.4255
2951000,0,-4.52937,-77.0998,1.69732,0.409
2952000,1,-4.43149,-77.8629,0.998411,0.447
2953000,0,-2.12361,-75.8278,0.252569,0.42
2954000,0,-2.44094,-74.3732,0.336633,0.413
2955000,0,-2.48345,-74.9754,0.61874,0.399
2956000,0,-2.16812,-76.3898,0.315224,0.4025
2957000,0,-2.82145,-75.0976,0.311865,0.399556
2958000,0,-2.65953,-74.7274,0.823699,0.413
2959000,0,-2.35732,-77.8734,0.181165,0.403
2960000,0,-3.22059,-76.9627,0.0908592,0.375
2961000,1,-6.39127,-81.4559,1.71059,0.575
2962000,0,-2.87981,-74.6068,0.522453,0.384
2963000,0,-1.96785,-75.424,0.0764525,0.425053
2964000,0,-4.57156,-78.5419,0.407125,0.419667
2965000,0,-3.43864,-77.4541,0.367244,0.426
2966000,0,-2.9185,-74.4833,0.92571,0.404667
2967000,0,-3.83247,-75.7264,1.22487,0.395
2968000,0,-5.27919,-76.2133,0.120231,0.452333
2969000,0,-2.22578,-78.678,0.0450349,0.433154
2970000,0,-2.48024,-74.2849,0.0913466,0.4045
2971000,0,-2.53736,-74.7875,0.382826,0.448
2972000,0,-2.38617,-75.8204,0.0541888,0.408
2973000,0,-2.12686,-74.9053,0.281573,0.429
2974000,0,-1.93863,-76.3387,0.026783,0.397
2975000,1,-5.53264,-74.9052,0.0844186,0.401167
2976000,0,-3.86433,-76.1405,1.16258,0.39
2977000,0,-2.22232,-75.0615,0.179807,0.415667
2978000,0,-2.63161,-76.4919,0.00735292,0.388
2979000,0,-3.75859,-76.3405,0.0360679,0.4045
2980000,0,-2.67938,-75.3081,0.931605,0.434
2981000,0,-3.71543,-76.9795,1.02489,0.4282
2982000,0,-2.72132,-74.4538,0.406437,0.421
2983000,0,-2.54068,-74.7191,0.261329,0.451333
2984000,0,-2.37311,-75.5975,0.282272,0.395
2985000,0,-3.02377,-76.5725,0.200245,0.375
2986000,0,-2.16732,-75.2215,0.425148,0.415917
2987000,0,-6.29625,-76.1545,2.81005,0.389
2988000,0,-4.73375,-77.3559,2.28575,0.379
2989000,0,-2.55304,-74.4233,0.641809,0.420909
2990000,0,-1.92088,-74.8664,0.049462,0.395
2991000,0,-2.30772,-76.0594,0.211152,0.385
2992000,0,-3.49551,-74.6417,0.399675,0.438
2993000,1,-4.98733,-77.2667,0.463986,0.410636
2994000,0,-2.12902,-75.1441,0.00664494,0.404111
2995000,0,-2.51144,-76.5,0.609109,0.411
2996000,0,-2.16483,-76.6285,0.423732,0.398
2997000,0,-1.77835,-75.3961,0.0172175,0.4192
2998000,0,-2.50467,-77.5774,0.00168445,0.404
2999000,0,-2.44561,-74.8787,0.32349,0.375
3000000,0,-3.61591,-78.3685,0.65563,0.406571
3001000,0,-3.60132,-74.7535,1.22505,0.403
3002000,0,-2.52397,-74.3668,0.514406,0.425
3003000,0,-4.19004,-75.3481,0.832774,0.397286
3004000,0,-4.04919,-77.4906,1.21439,0.419
3005000,0,-2.79396,-78.263,0.0490189,0.425333
3006000,0,-2.38278,-77.1743,0.380542,0.353
3007000,0,-2.80173,-74.5002,0.267873,0.377
3008000,0,-2.24176,-75.6487,0.39921,0.411
3009000,0,-2.45382,-74.4521,0.132702,0.4126
3010000,0,-2.70504,-74.9293,0.00222781,0.417
3011000,0,-2.16491,-77.0675,0.430902,0.403
3012000,0,-3.11638,-75.6385,1.22477,0.386667
3013000,0,-2.38679,-74.5637,0.414302,0.365
3014000,1,-6.45488,-75.8222,0.835173,0.387
3015000,1,-5.67473,-77.9358,0.446331,0.389625
3016000,0,-2.21087,-75.0084,0.419963,0.45
3017000,0,-3.14936,-75.3076,0.805939,0.423833
3018000,0,-2.26121,-77.0648,0.272763,0.399
3019000,0,-2.08712,-76.335,0.15908,0.418
3020000,0,-2.27584,-74.5181,0.175112,0.4065
3021000,0,-4.16318,-74.7112,1.73011,0.426
3022000,0,-2.32636,-76.1461,0.00022616,0.417
3023000,0,-2.62676,-74.3071,0.5962,0.4235
3024000,0,-2.558,-75.2146,0.150458,0.42775
3025000,0,-3.01767,-78.8339,0.264327,0.407
3026000,0,-3.73273,-75.5909,1.46051,0.440333
3027000,0,-4.19542,-75.8008,1.20294,0.474
3028000,0,-4.30257,-77.7682,0.12901,0.386
3029000,0,-2.29516,-74.7165,0.223185,0.398
3030000,0,-3.96659,-76.6194,0.285564,0.406
3031000,0,-2.84282,-74.7122,0.0872281,0.447889
3032000,1,-5.5935,-76.2934,0.490936,0.446286
3033000,0,-3.23479,-75.1097,0.45412,0.423826
3034000,2,-9.16298,-77.6969,0.44431,0.44125
3035000,0,-3.42165,-74.9889,0.350155,0.469333
3036000,0,-2.10995,-76.3724,0.211046,0.418
3037000,0,-1.98819,-75.1486,0.308799,0.405
3038000,0,-3.08274,-76.0992,0.450229,0.452286
3039000,0,-2.46295,-74.5426,0.290068,0.414
3040000,0,-2.64987,-77.7104,0.198701,0.434833
3041000,1,-8.78693,-76.6054,0.992316,0.584
3042000,0,-3.28257,-76.0418,1.4783,0.547
3043000,0,-2.19837,-74.6763,0.43321,0.516
3044000,0,-2.76546,-75.116,0.353522,0.470636
3045000,0,-3.54412,-77.2632,0.0894037,0.492167
3046000,0,-2.60163,-74.0778,0.534051,0.468556
3047000,0,-2.92213,-74.4837,0.747398,0.54
3048000,0,-3.13034,-76.1554,1.434,0.421
3049000,0,-2.29051,-74.6071,0.200346,0.414167
3050000,0,-3.23486,-76.9152,0.45429,0.416
3051000,0,-2.95372,-79.9194,0.749669,0.444
3052000,0,-3.00177,-80.406,0.0138514,0.4226
3053000,1,-6.98117,-75.0136,0.650058,0.402
3054000,0,-2.55003,-74.528,0.519509,0.435167
3055000,0,-3.12344,-75.5692,1.0019,0.446
3056000,0,-5.18432,-77.495,0.431227,0.4142
3057000,0,-2.66068,-75.0591,0.361237,0.391
3058000,0,-3.311,-77.5524,1.33712,0.372
3059000,0,-2.3456,-75.2808,0.613885,0.471
3060000,0,-3.81546,-75.983,0.6673,0.428
3061000,0,-3.26077,-77.2007,1.50426,0.417625
3062000,0,-5.56473,-76.4065,1.77809,0.399
3063000,0,-3.02367,-75.1871,0.704685,0.39
3064000,0,-2.19778,-75.0303,0.428034,0.375
3065000,0,-2.5436,-74.4208,0.161396,0.421667
3066000,0,-2.22645,-74.7053,0.0607936,0.407
3067000,0,-4.08739,-75.2074,0.739443,0.406
3068000,0,-2.50313,-76.1077,0.620524,0.40625
3069000,0,-4.64016,-77.9889,1.28507,0.415
3070000,0,-3.31505,-75.1644,0.0257695,0.381333
3071000,0,-2.61742,-74.558,0.230487,0.4032
3072000,0,-2.47927,-76.2574,0.405936,0.384
3073000,0,-3.72684,-76.3296,1.14089,0.41975
3074000,1,-8.11983,-77.9368,0.479622,0.434
3075000,0,-2.58296,-75.1922,0.257906,0.443
3076000,0,-3.88378,-75.8628,0.440178,0.410143
3077000,0,-2.73003,-75.4521,0.43129,0.4392
3078000,1,-6.43734,-77.6423,1.11814,0.391
3079000,0,-2.08433,-76.3726,0.327303,0.434
3080000,0,-2.14737,-74.0397,0.109587,0.40825
3081000,0,-2.44987,-75.0935,0.447683,0.484
3082000,0,-3.14702,-75.1178,0.265486,0.377
3083000,1,-4.55283,-74.9599,0.0877075,0.39
3084000,0,-2.07299,-74.4149,0.154131,0.430143
3085000,0,-3.08735,-77.6924,1.24511,0.423833
3086000,0,-3.23799,-76.2164,1.52489,0.423667
3087000,0,-2.2255,-74.7062,0.0906508,0.402
3088000,0,-2.17057,-74.8005,0.0607139,0.4225
3089000,1,-5.37512,-74.8991,0.589811,0.472
3090000,0,-2.62344,-77.4476,0.00323216,0.4202
3091000,0,-2.67334,-75.5437,0.858065,0.4155
3092000,0,-6.38722,-76.7276,3.97363,0.435588
3093000,0,-2.73844,-75.4654,0.270818,0.388
3094000,0,-3.27871,-76.7302,1.359,0.422
3095000,0,-3.37781,-75.4545,1.40933,0.388
3096000,0,-2.09942,-75.8328,0.152902,0.373
3097000,0,-2.59209,-74.1139,0.560779,0.406
3098000,0,-2.27832,-74.9326,0.143013,0.458
3099000,0,-2.65095,-75.5952,0.798281,0.391
3100000,0,-1.80676,-75.5689,0.145361,0.425
3101000,2,-10.743,-76.9687,2.09107,0.463
3102000,0,-3.26633,-76.0553,0.431934,0.589
3103000,0,-2.04511,-75.1876,0.191674,0.402
3104000,0,-2.95988,-74.6879,0.748649,0.374
3105000,0,-2.63045,-77.3196,0.208246,0.398
3106000,0,-2.79061,-75.0369,0.0726182,0.38
3107000,0,-3.25071,-75.7327,0.120869,0.406143
3108000,0,-2.22299,-74.5142,0.107977,0.395
3109000,0,-2.87723,-74.8635,0.165541,0.431889
3110000,0,-5.67986,-74.291,3.31348,0.418
3111000,0,-1.93997,-75.7587,0.21803,0.416
3112000,0,-2.8979,-75.6249,0.971633,0.408
3113000,0,-4.49373,-76.8501,1.20275,0.37
3114000,0,-2.22632,-76.2925,0.0606637,0.3994
3115000,0,-2.46023,-75.0263,0.560634,0.4285
3116000,0,-2.80544,-74.643,0.811711,0.406
3117000,0,-3.03425,-75.6508,0.0478046,0.397
3118000,0,-2.41806,-76.799,0.696867,0.417
3119000,0,-3.89448,-77.7751,1.99081,0.4188
3120000,0,-3.73348,-76.5052,0.970238,0.409667
3121000,0,-2.29197,-74.5146,0.159668,0.443667
3122000,0,-2.02739,-74.4764,0.0865551,0.364
3123000,0,-2.56778,-75.4231,0.373638,0.407333
3124000,0,-3.0204,-74.161,0.509963,0.4078
3125000,0,-3.53602,-79.9464,0.664854,0.413579
3126000,0,-2.15488,-74.4789,0.0299321,0.386
3127000,0,-3.38525,-75.0014,0.347889,0.399
3128000,0,-3.55738,-76.1636,0.366552,0.418
3129000,0,-2.67231,-75.0277,0.560452,0.4178
3130000,0,-3.23657,-74.229,0.58905,0.4315
3131000,0,-1.99276,-74.561,0.0322662,0.453
3132000,0,-3.14139,-75.0792,0.860892,0.403111
3133000,0,-2.28192,-75.2552,0.245299,0.419727
3134000,0,-2.39067,-76.3411,0.670496,0.404
3135000,0,-3.46072,-77.4938,0.81042,0.444
3136000,0,-4.30463,-76.6811,2.1251,0.414
3137000,0,-1.99411,-82.4733,0.051515,0.455
3138000,0,-3.40106,-78.4346,0.738456,0.386
3139000,0,-2.48884,-75.3331,0.0326095,0.4092
3140000,0,-2.88334,-76.0422,0.9732,0.412875
3141000,1,-5.10473,-77.6406,0.929528,0.3982
3142000,0,-2.23811,-76.2395,0.0336274,0.462
3143000,0,-2.63534,-75.9097,0.67599,0.41925
3144000,0,-4.37796,-75.817,0.499182,0.421
3145000,2,-9.94209,-77.8591,2.44124,0.461
3146000,0,-3.82053,-77.9424,1.53178,0.443
3147000,0,-2.42765,-75.9279,0.251546,0.417333
3148000,0,-2.00611,-75.6422,0.34667,0.446
3149000,0,-1.98966,-74.3509,0.188798,0.389
3150000,0,-2.67687,-74.3969,0.381945,0.419
3151000,0,-2.1472,-74.2808,0.244271,0.391
3152000,0,-2.64727,-75.5234,0.236116,0.4206
3153000,0,-3.51492,-75.5898,1.10018,0.45
3154000,0,-3.0188,-74.6855,0.664842,0.382
3155000,0,-2.77096,-77.9857,0.473389,0.43675
3156000,0,-2.24953,-76.7099,0.27769,0.422187
3157000,0,-2.53608,-75.0447,0.298347,0.396333
3158000,0,-2.66209,-76.8699,0.256934,0.395
3159000,0,-1.86869,-76.5456,0.107487,0.389
3160000,0,-3.17683,-74.9488,0.357875,0.3985
3161000,0,-2.62192,-76.9561,0.335044,0.424
3162000,0,-4.79974,-78.848,0.607793,0.451
3163000,0,-3.51828,-77.0141,1.79711,0.447
3164000,1,-6.36483,-75.0677,1.25313,0.416444
3165000,0,-3.0518,-77.7689,1.05549,0.444
3166000,0,-2.24597,-75.1242,0.0771477,0.4276
3167000,0,-2.683,-76.036,0.571107,0.43025
3168000,0,-1.98714,-75.7942,0.183317,0.442
3169000,0,-2.94827,-74.0671,0.796547,0.38
3170000,0,-3.35985,-75.8718,0.920593,0.364
3171000,0,-4.38422,-77.1828,0.723447,0.394333
3172000,0,-2.43664,-74.7771,0.325839,0.407
3173000,0,-3.26046,-75.2009,0.518156,0.374
3174000,0,-2.06415,-74.8517,0.0318654,0.38
3175000,0,-4.14927,-76.0878,0.271907,0.38
3176000,0,-2.51937,-75.2837,0.172975,0.4048
3177000,0,-3.3408,-76.5637,0.538028,0.406
3178000,0,-2.87001,-75.6946,0.60778,0.400333
3179000,0,-2.12594,-74.7483,0.0273981,0.397692
3180000,0,-2.46144,-74.5293,0.192504,0.397
3181000,0,-2.19112,-77.427,0.279807,0.409125
3182000,0,-2.34591,-74.733,0.371613,0.384
3183000,0,-4.09244,-75.4568,1.31183,0.416
3184000,0,-3.42329,-75.5938,0.664245,0.406
3185000,0,-2.26179,-74.5714,0.453553,0.409667
3186000,0,-3.0579,-78.3474,0.329034,0.414833
3187000,0,-2.19895,-74.9534,0.259138,0.422333
3188000,0,-2.07997,-77.1498,0.29445,0.379
3189000,0,-2.65354,-76.8231,0.179574,0.391
3190000,0,-2.25281,-74.7033,0.0452015,0.387
3191000,0,-2.88041,-74.3462,0.168662,0.4075
3192000,0,-2.82252,-75.2518,0.215283,0.4225
3193000,1,-6.845,-79.1603,0.56344,0.417938
3194000,0,-2.91939,-74.4662,0.763315,0.4415
3195000,0,-4.05669,-75.2785,0.605162,0.437
3196000,1,-8.93779,-79.2867,1.69723,0.4248
3197000,0,-1.88252,-75.6252,0.0611157,0.433
3198000,0,-3.30967,-77.6994,0.460816,0.419333
3199000,0,-3.07661,-74.5841,0.0482668,0.424375
3200000,0,-2.57334,-75.6438,0.608636,0.409
3201000,0,-3.51247,-75.0309,0.227244,0.41
3202000,0,-3.17027,-74.36,0.365155,0.425
3203000,1,-5.56819,-75.2376,0.664035,0.42225
3204000,0,-4.53095,-75.7865,1.4816,0.4192
3205000,0,-2.2155,-75.1591,0.338182,0.42575
3206000,0,-4.23555,-75.5024,0.738625,0.452333
3207000,0,-3.29375,-77.1895,0.308147,0.427
3208000,1,-5.1928,-76.4148,1.15055,0.483
3209000,0,-1.86882,-76.2517,0.11433,0.429
3210000,0,-2.11997,-75.2591,0.165728,0.366
3211000,0,-3.21878,-76.2278,1.2269,0.4092
3212000,0,-2.14614,-74.0762,0.00226935,0.465
3213000,0,-3.22699,-76.6548,0.805875,0.45
3214000,1,-9.36999,-77.929,0.373665,0.4449
3215000,0,-3.44488,-76.1312,0.420387,0.4287
3216000,0,-4.16084,-79.5462,0.0872884,0.402
3217000,0,-2.97471,-74.463,0.174241,0.364
3218000,0,-2.22236,-76.2355,0.225374,0.414625
3219000,0,-2.33805,-75.1124,0.22272,0.379
3220000,0,-3.49011,-78.1373,0.422947,0.371
3221000,0,-2.73142,-76.9721,0.292972,0.437
3222000,1,-8.7379,-78.0071,1.85695,0.4358
3223000,0,-2.54233,-76.8032,0.414419,0.412
3224000,0,-2.29864,-75.1409,0.20855,0.402
3225000,0,-1.94682,-75.5994,0.148015,0.413545
3226000,0,-2.02835,-75.1424,0.243373,0.398
3227000,0,-1.88916,-75.403,0.216531,0.405
3228000,0,-2.48278,-77.0797,0.0188866,0.4145
3229000,0,-3.99968,-75.4061,0.419391,0.41
3230000,0,-3.87708,-75.9579,0.0912001,0.423556
3231000,0,-2.74587,-74.4433,0.243444,0.39
3232000,1,-5.99256,-75.5958,0.79044,0.416
3233000,0,-3.063,-75.1698,0.564503,0.4154
3234000,0,-2.83994,-74.0463,0.439419,0.489
3235000,0,-2.68482,-76.6244,0.496652,0.376
3236000,0,-3.53588,-75.3227,0.14588,0.411
3237000,2,-9.93168,-79.0852,1.39478,0.430833
3238000,0,-1.93546,-75.2865,0.0777602,0.4345
3239000,0,-4.2544,-76.7479,1.69348,0.4015
3240000,0,-2.46301,-77.645,0.538775,0.397
3241000,0,-2.83559,-76.3969,0.825791,0.41
3242000,0,-2.55026,-75.1103,0.313808,0.4157
