generation,N_shifts,logPrior,logLik,eventRate,acceptRate
37000,0,-2.46633,-77.2434,0.209671,0.426
38000,0,-2.15522,-74.8383,0.370994,0.4052
39000,0,-3.22726,-78.3444,0.139658,0.416
40000,1,-5.97332,-76.3199,0.442153,0.481
41000,0,-3.5149,-81.5039,1.67012,0.4455
42000,0,-4.19893,-76.1194,0.576772,0.429625
43000,0,-3.02774,-75.6916,1.0802,0.353
44000,0,-2.83478,-76.5685,1.07155,0.467
45000,1,-4.45132,-74.7102,0.283761,0.421227
46000,0,-2.94232,-74.2927,0.839037,0.4305
47000,0,-2.89344,-74.8469,0.358587,0.420143
48000,0,-2.45012,-74.1951,0.318465,0.443
49000,0,-2.28975,-74.5722,0.180456,0.4085
50000,0,-3.55776,-76.2796,0.865722,0.373
51000,0,-2.02154,-77.8011,0.0360951,0.4165
52000,0,-3.36424,-76.6659,1.34379,0.432
53000,0,-3.72751,-74.4441,1.37941,0.419143
54000,0,-2.14453,-74.6866,0.142799,0.424
55000,0,-1.86191,-77.0482,0.00183075,0.428143
56000,0,-3.05145,-75.8485,0.063818,0.41825
57000,0,-2.76606,-77.0545,0.010914,0.39
58000,0,-2.85334,-77.051,0.922579,0.466
59000,1,-4.70106,-78.4712,0.26087,0.399
60000,0,-2.74871,-77.2312,0.937246,0.373
61000,0,-4.57887,-76.8097,0.702063,0.397857
62000,0,-3.10037,-77.6255,0.331009,0.4155
63000,0,-3.33523,-74.4237,0.857383,0.448
64000,1,-6.49176,-75.853,0.769052,0.446
65000,0,-1.92565,-75.5196,0.131548,0.4
66000,0,-3.03498,-75.558,0.884199,0.405091
67000,0,-3.55217,-75.8392,0.881134,0.385
68000,0,-3.11904,-77.7604,0.580462,0.416429
69000,0,-2.97703,-75.5643,0.278835,0.407125
70000,0,-2.7685,-76.1325,0.0541844,0.4056
71000,0,-2.29492,-74.6968,0.0455705,0.46
72000,0,-2.73078,-74.9771,1.01239,0.425333
73000,3,-11.0178,-75.4264,1.49705,0.509
74000,0,-4.22439,-74.9649,1.25072,0.421143
75000,0,-2.03259,-78.1959,0.275864,0.474
76000,0,-2.64542,-76.8862,0.788078,0.415
77000,0,-2.35899,-75.6153,0.196377,0.363
78000,1,-4.75038,-75.1713,0.480362,0.4504
79000,1,-6.00214,-75.8521,1.34968,0.623
80000,2,-14.0669,-76.5698,3.28125,0.457
81000,0,-3.75766,-77.0899,0.0483008,0.525
82000,0,-1.96165,-77.099,0.251769,0.4898
83000,0,-2.2311,-76.9853,0.0456198,0.4115
84000,0,-3.20921,-75.0463,1.07721,0.391
85000,0,-2.88719,-75.2141,0.036135,0.391
86000,0,-3.00311,-74.1953,0.797933,0.38
87000,0,-2.8337,-75.4807,0.0618628,0.4078
88000,1,-6.59271,-78.3596,1.41179,0.406
89000,0,-2.28971,-76.627,0.072446,0.422667
90000,0,-2.80771,-74.2286,0.365465,0.401
91000,0,-2.34033,-74.2685,0.0223059,0.43955
92000,0,-2.23976,-75.4784,0.0831691,0.409
93000,0,-2.69912,-74.882,0.0869752,0.455
94000,0,-3.09431,-75.0307,0.722208,0.409
95000,0,-2.27254,-76.0583,0.412473,0.442148
96000,1,-5.85714,-76.398,0.691359,0.46775
97000,0,-2.27035,-75.0587,0.0520945,0.41
98000,0,-6.31119,-77.6841,2.34728,0.414333
99000,0,-2.10113,-77.1928,0.0548059,0.419
100000,0,-2.91071,-75.5644,0.017056,0.4358
101000,0,-2.5128,-77.6634,0.372587,0.445429
102000,0,-4.57445,-77.8899,0.0162393,0.4436
103000,0,-2.23577,-75.4544,0.425961,0.467
